experiment,participant,orientation,regularity,variability,condition,RTs
pilot2,11,inverted,angry,high,inverted_angry_high,526
pilot2,11,inverted,neutral,high,inverted_neutral_high,545
pilot2,11,inverted,irregular,high,inverted_irregular_high,668
pilot2,12,upright,angry,low,upright_angry_low,489.5
pilot2,12,upright,neutral,low,upright_neutral_low,418.5
pilot2,12,upright,irregular,low,upright_irregular_low,517.5
pilot2,12,inverted,angry,low,inverted_angry_low,472
pilot2,12,inverted,neutral,low,inverted_neutral_low,485
pilot2,12,inverted,irregular,low,inverted_irregular_low,536
pilot2,12,upright,angry,high,upright_angry_high,570
pilot2,12,upright,neutral,high,upright_neutral_high,569
pilot2,12,upright,irregular,high,upright_irregular_high,682.5
pilot2,12,inverted,angry,high,inverted_angry_high,635
pilot2,12,inverted,neutral,high,inverted_neutral_high,529.5
pilot2,12,inverted,irregular,high,inverted_irregular_high,429
pilot2,13,upright,angry,low,upright_angry_low,523
pilot2,13,upright,neutral,low,upright_neutral_low,551.5
pilot2,13,upright,irregular,low,upright_irregular_low,536
pilot2,13,inverted,angry,low,inverted_angry_low,629
pilot2,13,inverted,neutral,low,inverted_neutral_low,595
pilot2,13,inverted,irregular,low,inverted_irregular_low,510
pilot2,13,upright,angry,high,upright_angry_high,496
pilot2,13,upright,neutral,high,upright_neutral_high,552
pilot2,13,upright,irregular,high,upright_irregular_high,778
pilot2,13,inverted,angry,high,inverted_angry_high,534
pilot2,13,inverted,neutral,high,inverted_neutral_high,553.5
pilot2,13,inverted,irregular,high,inverted_irregular_high,660
pilot2,14,upright,angry,low,upright_angry_low,579
pilot2,14,upright,neutral,low,upright_neutral_low,592
pilot2,14,upright,irregular,low,upright_irregular_low,560
pilot2,14,inverted,angry,low,inverted_angry_low,660
pilot2,14,inverted,neutral,low,inverted_neutral_low,585
pilot2,14,inverted,irregular,low,inverted_irregular_low,540
pilot2,14,upright,angry,high,upright_angry_high,551
pilot2,14,upright,neutral,high,upright_neutral_high,636
pilot2,14,upright,irregular,high,upright_irregular_high,618
pilot2,14,inverted,angry,high,inverted_angry_high,539.5
pilot2,14,inverted,neutral,high,inverted_neutral_high,477
pilot2,14,inverted,irregular,high,inverted_irregular_high,540
pilot2,15,upright,angry,low,upright_angry_low,585
pilot2,15,upright,neutral,low,upright_neutral_low,526.5
pilot2,15,upright,irregular,low,upright_irregular_low,643.5
pilot2,15,inverted,angry,low,inverted_angry_low,506
pilot2,15,inverted,neutral,low,inverted_neutral_low,486.5
pilot2,15,inverted,irregular,low,inverted_irregular_low,778
pilot2,15,upright,angry,high,upright_angry_high,456
pilot2,15,upright,neutral,high,upright_neutral_high,585
pilot2,15,upright,irregular,high,upright_irregular_high,560
pilot2,15,inverted,angry,high,inverted_angry_high,511
pilot2,15,inverted,neutral,high,inverted_neutral_high,605.5
pilot2,15,inverted,irregular,high,inverted_irregular_high,643.5
pilot2,16,upright,angry,low,upright_angry_low,604.5
pilot2,16,upright,neutral,low,upright_neutral_low,573.5
pilot2,16,upright,irregular,low,upright_irregular_low,412
pilot2,16,inverted,angry,low,inverted_angry_low,569
pilot2,16,inverted,neutral,low,inverted_neutral_low,546
pilot2,16,inverted,irregular,low,inverted_irregular_low,560
pilot2,16,upright,angry,high,upright_angry_high,560
pilot2,16,upright,neutral,high,upright_neutral_high,477.5
pilot2,16,upright,irregular,high,upright_irregular_high,701
pilot2,16,inverted,angry,high,inverted_angry_high,616
pilot2,16,inverted,neutral,high,inverted_neutral_high,536
pilot2,16,inverted,irregular,high,inverted_irregular_high,660.5
exp1,1,upright,angry,low,upright_angry_low,582
exp1,1,upright,neutral,low,upright_neutral_low,345
exp1,1,upright,irregular,low,upright_irregular_low,451
exp1,1,inverted,angry,low,inverted_angry_low,502
exp1,1,inverted,neutral,low,inverted_neutral_low,618
exp1,1,inverted,irregular,low,inverted_irregular_low,519
exp1,1,upright,angry,high,upright_angry_high,503.5
exp1,1,upright,neutral,high,upright_neutral_high,442
exp1,1,upright,irregular,high,upright_irregular_high,489.5
exp1,1,inverted,angry,high,inverted_angry_high,568
exp1,1,inverted,neutral,high,inverted_neutral_high,519.5
exp1,1,inverted,irregular,high,inverted_irregular_high,435
exp1,2,upright,angry,low,upright_angry_low,465.5
exp1,2,upright,neutral,low,upright_neutral_low,603
exp1,2,upright,irregular,low,upright_irregular_low,586
exp1,2,inverted,angry,low,inverted_angry_low,627.5
exp1,2,inverted,neutral,low,inverted_neutral_low,720
exp1,2,inverted,irregular,low,inverted_irregular_low,339
exp1,2,upright,angry,high,upright_angry_high,460
exp1,2,upright,neutral,high,upright_neutral_high,403
exp1,2,upright,irregular,high,upright_irregular_high,702
exp1,2,inverted,angry,high,inverted_angry_high,568
exp1,2,inverted,neutral,high,inverted_neutral_high,635.5
exp1,2,inverted,irregular,high,inverted_irregular_high,429
exp1,3,upright,angry,low,upright_angry_low,351
exp1,3,upright,neutral,low,upright_neutral_low,693
exp1,3,upright,irregular,low,upright_irregular_low,335
exp1,3,inverted,angry,low,inverted_angry_low,685
exp1,3,inverted,neutral,low,inverted_neutral_low,294
exp1,3,inverted,irregular,low,inverted_irregular_low,436
exp1,3,upright,angry,high,upright_angry_high,430
exp1,3,upright,neutral,high,upright_neutral_high,361
exp1,3,upright,irregular,high,upright_irregular_high,618
exp1,3,inverted,angry,high,inverted_angry_high,562
exp1,3,inverted,neutral,high,inverted_neutral_high,569
exp1,3,inverted,irregular,high,inverted_irregular_high,593
